MAGs	PULS	CAZY	Ecosystem	Class	Order	Family
3300029582_10	15	60	Human	Clostridia	Lachnospirales	Lachnospiraceae
3300029584_19	85	18	Human	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae
3300029588_15	17	64	Human	Clostridia	Lachnospirales	Lachnospiraceae
3300029589_34	13	46	Human	Actinobacteria	Actinomycetales	Bifidobacteriaceae
3300029594_5	64	75	Human	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae
3300029603_19	5	67	Human	Actinobacteria	Actinomycetales	Bifidobacteriaceae
3300029605_10	15	63	Human	Clostridia	Lachnospirales	Lachnospiraceae
3300029610_31	5	43	Human	Actinobacteria	Actinomycetales	Bifidobacteriaceae
3300029611_10	6	122	Human	Bacteroidia	Bacteroidales	Barnesiellaceae
3300029611_12	22	69	Human	Clostridia	Lachnospirales	Lachnospiraceae
3300029613_23	84	17	Human	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae
3300029615_12	4	117	Human	Bacteroidia	Bacteroidales	Barnesiellaceae
3300029615_15	38	24	Human	Bacteroidia	Bacteroidales	Rikenellaceae
3300029621_11	46	46	Human	Clostridia	Oscillospirales	Oscillospiraceae
3300029622_14	6	122	Human	Bacteroidia	Bacteroidales	Barnesiellaceae
3300029634_9	37	127	Human	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae
3300029641_4	11	155	Human	Bacteroidia	Bacteroidales	Tannerellaceae
3300029653_10	39	23	Human	Negativicutes	Acidaminococcales	Acidaminococcaceae
3300029656_6	44	75	Human	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae
3300029661_18	13	68	Human	Actinobacteria	Actinomycetales	Bifidobacteriaceae
3300029664_12	59	23	Human	Negativicutes	Acidaminococcales	Acidaminococcaceae
3300029664_16	6	47	Human	Actinobacteria	Actinomycetales	Bifidobacteriaceae
3300029664_9	10	61	Human	Actinobacteria	Actinomycetales	Bifidobacteriaceae
3300029668_16	23	61	Human	Actinobacteria	Actinomycetales	Bifidobacteriaceae
3300029675_5	14	152	Human	Bacteroidia	Bacteroidales	Tannerellaceae
3300029675_6	15	124	Human	Bacteroidia	Bacteroidales	Barnesiellaceae
3300029682_12	73	18	Human	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae
3300029684_32	54	14	Human	Methanobacteria	Methanobacteriales	Methanobacteriaceae
3300029686_16	39	67	Human	Clostridia	Lachnospirales	Lachnospiraceae
3300029686_5	35	71	Human	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae
3300029688_6	5	117	Human	Bacteroidia	Bacteroidales	Barnesiellaceae
3300029698_6	12	126	Human	Bacteroidia	Bacteroidales	Barnesiellaceae
3300029703_11	13	118	Human	Bacteroidia	Bacteroidales	Barnesiellaceae
3300029707_11	8	117	Human	Bacteroidia	Bacteroidales	Barnesiellaceae
3300029708_11	15	119	Human	Bacteroidia	Bacteroidales	Barnesiellaceae
3300029709_21	21	68	Human	Bacteroidia	Bacteroidales	Rikenellaceae
3300029710_15	35	20	Human	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae
3300029711_11	18	115	Human	Bacteroidia	Bacteroidales	Barnesiellaceae
3300029715_16	8	114	Human	Bacteroidia	Bacteroidales	Barnesiellaceae
3300029716_10	8	123	Human	Bacteroidia	Bacteroidales	Barnesiellaceae
3300029717_13	23	122	Human	Bacteroidia	Bacteroidales	Barnesiellaceae
3300029719_10	43	74	Human	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae
3300029724_10	29	73	Human	Clostridia	Lachnospirales	Lachnospiraceae
3300029724_17	71	17	Human	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae
3300029725_10	7	132	Human	Bacteroidia	Bacteroidales	Barnesiellaceae
3300029730_7	9	115	Human	Bacteroidia	Bacteroidales	Barnesiellaceae
3300029731_11	48	78	Human	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae
3300029731_7	16	122	Human	Bacteroidia	Bacteroidales	Barnesiellaceae
3300029732_14	38	71	Human	Actinobacteria	Actinomycetales	Bifidobacteriaceae
3300029733_12	5	98	Human	Bacteroidia	Bacteroidales	Rikenellaceae
3300029734_11	11	123	Human	Bacteroidia	Bacteroidales	Barnesiellaceae
3300029735_10	7	122	Human	Bacteroidia	Bacteroidales	Barnesiellaceae
3300029735_4	22	73	Human	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae
3300029739_13	10	70	Human	Actinobacteria	Actinomycetales	Bifidobacteriaceae
3300029743_15	15	61	Human	Clostridia	Lachnospirales	Lachnospiraceae
3300029744_9	11	64	Human	Clostridia	Lachnospirales	Lachnospiraceae
3300029745_9	46	78	Human	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae
3300029750_12	36	29	Human	Negativicutes	Veillonellales	Megasphaeraceae
3300029754_18	57	23	Human	Negativicutes	Acidaminococcales	Acidaminococcaceae
3300029756_6	22	122	Human	Bacteroidia	Bacteroidales	Barnesiellaceae
3300029763_17	14	56	Human	Actinobacteria	Actinomycetales	Bifidobacteriaceae
3300029764_14	35	29	Human	Negativicutes	Veillonellales	Megasphaeraceae
3300029765_16	55	29	Human	Negativicutes	Veillonellales	Megasphaeraceae
3300029767_20	4	57	Human	Actinobacteria	Actinomycetales	Bifidobacteriaceae
3300029770_23	13	65	Human	Actinobacteria	Actinomycetales	Bifidobacteriaceae
3300029771_18	5	57	Human	Actinobacteria	Actinomycetales	Bifidobacteriaceae
3300029772_11	16	121	Human	Bacteroidia	Bacteroidales	Barnesiellaceae
3300029776_12	38	32	Human	Negativicutes	Veillonellales	Megasphaeraceae
3300029778_8	14	61	Human	Clostridia	Lachnospirales	Lachnospiraceae
3300029790_12	16	123	Human	Bacteroidia	Bacteroidales	Barnesiellaceae
3300029795_12	12	65	Human	Clostridia	Lachnospirales	Lachnospiraceae
3300029814_12	75	19	Human	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae
3300029816_17	42	34	Human	Negativicutes	Veillonellales	Megasphaeraceae
3300029839_14	100	62	Human	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae
3300029840_11	4	119	Human	Bacteroidia	Bacteroidales	Barnesiellaceae
3300029841_7	88	83	Human	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae
3300029842_11	13	62	Human	Clostridia	Lachnospirales	Lachnospiraceae
3300029851_18	6	68	Human	Actinobacteria	Actinomycetales	Bifidobacteriaceae
3300029852_15	11	66	Human	Actinobacteria	Actinomycetales	Bifidobacteriaceae
3300029855_7	16	118	Human	Bacteroidia	Bacteroidales	Barnesiellaceae
3300029856_8	7	115	Human	Bacteroidia	Bacteroidales	Barnesiellaceae
3300029862_7	65	78	Human	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae
3300029875_13	40	76	Human	Clostridia	Oscillospirales	Ruminococcaceae
3300029877_6	8	115	Human	Bacteroidia	Bacteroidales	Barnesiellaceae
3300029884_18	48	23	Human	Coriobacteriia	Coriobacteriales	Coriobacteriaceae
3300029888_3	27	82	Human	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae
3300029934_8	39	63	Human	Clostridia	Lachnospirales	Lachnospiraceae
